n type t_tot t_blk lambda s feed x y z
20 0 1.482000 0.198000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.488000 0.204000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.494000 0.210000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.500000 0.216000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.506000 0.222000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.512000 0.228000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.518000 0.234000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.524000 0.240000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.530000 0.246000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.536000 0.252000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.542000 0.258000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.548000 0.264000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.554000 0.270000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.560000 0.276000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.566000 0.282000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.572000 0.288000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.578000 0.294000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.584000 0.300000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.590000 0.306000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.596000 0.312000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.602000 0.318000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.608000 0.324000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.614000 0.330000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.620000 0.336000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.626000 0.342000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.632000 0.348000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.638000 0.354000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.644000 0.360000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.650000 0.366000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.656000 0.372000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.662000 0.378000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.668000 0.384000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.674000 0.390000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.680000 0.396000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 0 1.686000 0.402000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20 1 1.698000 0.000000 0.000000 0.000000 0.000000 -10.000000 0.000000 20.000000
20 1 1.704000 0.006000 0.000090 0.001799 35.984007 -10.000000 0.000000 19.998201
20 1 1.710000 0.012000 0.000360 0.007197 71.968014 -10.000000 0.000000 19.992803
20 1 1.716000 0.018000 0.000810 0.016193 107.952021 -10.000000 0.000000 19.983807
20 1 1.722000 0.024000 0.001439 0.028787 143.936028 -10.000000 0.000000 19.971213
